POINT_X,POINT_Y,AGB_T_HA_2018,AGB_T_HA_2010,AGB_T_HA_SD_2018,AGB_T_HA_SD_2010
-54.98130209,-3.11345988,0.305096825,22.41907414,3.234993191,25.29265672
-54.98130209,-3.11255588,0.668463575,8.081414976,4.718201706,15.69310486
-54.98130209,-3.11165188,1.098406337,46.71507569,8.685754091,35.70596277
-54.98130209,-3.11074788,4.219053199,47.81675806,13.63325173,35.97330826
-54.98130209,-3.10984388,13.37409292,47.80729623,20.02976166,36.12751909
-54.98130209,-3.10893988,3.406358749,15.77004285,10.37582341,21.39776836
-54.98130209,-3.10803588,3.161955407,40.42359106,9.970894931,33.20634846
-54.98130209,-3.10713188,4.755400952,68.23285723,12.117196,43.11777243
-54.98130209,-3.10622788,4.05946025,68.65462116,11.31010586,42.92817502
-54.98130209,-3.10532388,4.008364616,68.71041289,11.18193543,42.9361869
-54.98040309,-3.13063588,0.303506501,0.139118473,3.227433549,2.217985618
-54.98040309,-3.12973188,3.1632784,1.940037755,10.81739954,8.945702342
-54.98040309,-3.12882788,3.475279604,2.477493391,10.32007595,9.312562703
-54.98040309,-3.12792388,5.159086261,13.49340147,12.57027127,20.26675552
-54.98040309,-3.12701988,15.44988495,27.93063466,21.94916361,29.12934232
-54.98040309,-3.12611588,12.80614485,32.98451144,22.5924203,30.94456594
-54.98040309,-3.12521188,2.896808682,18.47008233,11.42335935,24.81711375
-54.98040309,-3.12430788,2.516341618,60.20134933,11.48417162,40.41411825
-54.98040309,-3.12340388,3.570776705,68.52956342,13.97904158,42.91334022
-54.98040309,-3.12249988,2.102744258,61.09025466,13.36052878,40.6904946
-54.98040309,-3.12159588,4.609738487,55.45224392,22.44932461,39.10375259
-54.98040309,-3.12069188,0.40431505,17.22431384,5.799412948,24.85242828
-54.98040309,-3.11978788,0.146955588,34.26780476,2.275262632,31.79758471
-54.98040309,-3.11888388,0.158442119,33.19818485,2.358404814,30.836938
-54.98040309,-3.11797988,0.168800142,27.44832008,2.430441786,27.62622647
-54.98040309,-3.11707588,0.160819338,35.39962237,2.375380446,31.15274658
-54.98040309,-3.11617188,0.169625177,40.43674295,2.436935388,33.20392505
-54.98040309,-3.11526788,0.178841901,25.27188484,2.498018326,26.64706977
-54.98040309,-3.11436388,0.178171653,33.65570947,2.50605464,30.36979486
-54.98040309,-3.11345988,0.525808184,27.32901766,4.184439611,27.54283902
-54.98040309,-3.11255588,0.561902691,11.68304927,4.31616944,18.47067022
-54.98040309,-3.11165188,1.135929916,47.94855104,6.056346185,36.03421618
-54.98040309,-3.11074788,0.697310751,66.34379634,4.942963915,42.26057427
-54.98040309,-3.10984388,3.641182757,34.63481096,10.64486479,30.80852341
-54.98040309,-3.10893988,6.128846705,37.38057137,13.46837988,32.07442543
-54.98040309,-3.10803588,7.138087527,40.72676345,14.50035537,33.28715453
-54.98040309,-3.10713188,8.055679436,38.52652746,15.32892267,32.45803226
-54.97950409,-3.12882788,4.208069031,6.735959209,11.45156987,18.7560175
-54.97950409,-3.12792388,9.071986483,17.71240689,17.69252218,23.40518387
-54.97950409,-3.12701988,11.26497147,26.98423317,18.26856171,27.43703206
-54.97950409,-3.12611588,5.555180298,22.80526041,16.03597362,26.4944178
-54.97950409,-3.12521188,1.647572279,35.44408644,7.245585924,37.29983647
-54.97950409,-3.12430788,1.645805486,62.78395584,7.251901651,41.14661765
-54.97950409,-3.12340388,0.259322643,63.70248008,3.486418252,41.35385225
-54.97950409,-3.12249988,0.205390614,63.09904802,2.78913055,41.21784309
-54.97950409,-3.12159588,0.212084663,32.17865995,3.0015116,29.87738801
-54.97950409,-3.12069188,0.17316768,23.76439555,2.460249216,25.83786652
-54.97950409,-3.11978788,0.16020404,17.22199434,2.370777635,22.16897676
-54.97950409,-3.11888388,0.16367347,30.51977963,2.394846316,28.99443138
-54.97950409,-3.11797988,0.156928893,16.80189378,2.347522985,21.93299485
-54.97950409,-3.11707588,0.155719086,52.19335589,2.338727485,37.60908811
-54.97950409,-3.11617188,0.151214388,59.30112065,2.306627116,40.01823724
-54.97950409,-3.11526788,0.161334166,40.73351113,2.38495512,33.38362226
-54.97950409,-3.11436388,0.396152428,47.69140453,3.672776509,36.0026695
-54.97950409,-3.11345988,0.643691388,83.07765941,4.598484497,47.58697564
-54.97950409,-3.11255588,0.423420827,83.2495044,3.777153707,48.57524647
-54.97950409,-3.11165188,1.076304933,91.48527036,5.868795895,49.52993819
-54.97950409,-3.11074788,1.175986274,109.9869557,6.198416941,54.23686385
-54.97950409,-3.10984388,6.308100374,49.4091534,13.65402716,36.59282463
-54.97950409,-3.10893988,6.265197322,32.78118758,13.58334465,29.99902976
-54.97950409,-3.10803588,9.035369775,53.07479756,16.20576083,37.85276658
-54.97950409,-3.10713188,21.36655561,50.903736,24.49824002,37.0934634
-54.97860509,-3.12249988,0.173338538,48.10506577,2.46300006,37.87114111
-54.97860509,-3.12159588,0.169419933,27.92275589,2.435055408,27.92894573
-54.97860509,-3.12069188,0.167529684,20.58147628,2.42297825,24.31680854
-54.97860509,-3.11978788,0.162237379,23.33166657,2.38487254,26.41684189
-54.97860509,-3.11888388,0.160335463,23.66064369,2.371942652,26.66610743
-54.97860509,-3.11797988,0.184514243,86.26643204,2.536307998,49.56778211
-54.97860509,-3.11707588,0.184453119,87.61574939,2.535963951,48.48320215
-54.97860509,-3.11617188,0.199916174,91.68104842,2.883358292,49.54395828
-54.97860509,-3.11526788,6.969257797,57.84945122,16.71228223,39.51647916
-54.97860509,-3.11436388,1.347149182,82.76980331,6.622567937,47.14093535
